"Ref_lead_author","Ref_publication_date","Ref_title","Ref_html_link","Ref_DOI_number","Substrate","HTL","Perovskite_composition","Perovskite_composition_short_form","Perovskite_composition_a_ions","Perovskite_composition_a_ions_coefficients","Perovskite_composition_b_ions","Perovskite_composition_b_ions_coefficients","Perovskite_composition_c_ions","Perovskite_composition_c_ions_coefficients","ETL","Top_contact","Cell_flexible","Cell_architecture","HTL_deposition","HTL_spin_coating_parameters","HTL_annealing_parameters","Perovskite_deposition","Perovskite_spin_coating_parameters","Perovskite_annealing_parameters","ETL_deposition","ETL_spin_coating_parameters","ETL_annealing_parameters","Top_contact_deposition","Top_contact_thickness"
"Shao, Yuchuan","2016-01-11","Correlation of energy disorder and open-circuit voltage in hybrid perovskite solar cells","https://www.nature.com/articles/nenergy20151","10.1038/nenergy.2015.1","SLG | ITO","PTAA","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Al","FALSE","","Spin-coating","","110 C 10 min","Spin-coating","","","Spin-coating","","","Evaporation","100 nm"
"Divitini, G.","2016-01-18","In situ observation of heat-induced degradation of perovskite solar cells","https://www.nature.com/articles/nenergy201512","10.1038/nenergy.2015.12","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","","","Spin-coating","4000 rpm 30 s","90 C 60 min","","","","Evaporation","100 nm"
"Yang, Shuang","2016-01-18","Functionalization of perovskite thin films with moisture-tolerant molecules","https://www.nature.com/articles/nenergy201516","10.1038/nenergy.2015.16","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Ag","FALSE","nip","Spin-coating","4000 rpm 30 s","","Spin-coating","3000 rpm 15 s","100 C 5 min","Spin-coating","3000 rpm 30 s","","Evaporation","80-120 nm"
"Saliba, Michael","2016-01-18","A molecularly engineered hole-transporting material for efficient perovskite solar cells","https://www.nature.com/articles/nenergy201517","10.1038/nenergy.2015.17","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","4000 rpm 20 s","","Spin-coating","1000 rpm 10 s 6000 rpm 30 s","","Spin-coating","3000 rpm 30 s","","Evaporation","60-100 nm"
"Wu, Yongzhen","2016-09-19","Perovskite solar cells with 18.21% efficiency and area over 1 cm2 fabricated by heterojunction engineering","https://www.nature.com/articles/nenergy2016148","10.1038/nenergy.2016.148","SLG | FTO","NiO","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Ag","FALSE","pin","","","","","","","Spin-coating","","","Evaporation","100 nm"
"Jiang, Qi","2016-11-14","Enhanced electron extraction using SnO2 for high-efficiency planar-structure HC(NH2)2PbI3-based perovskite solar cells","https://www.nature.com/articles/nenergy2016177","10.1038/nenergy.2016.177","SLG | ITO","spiro-ometad","FAPbI3","FAPbI","FA","1.0","Pb","1.0","I","3.0","SnO2","Au","FALSE","nip","Spin-coating","3000 rpm 30 s","","Spin-coating","1500 rpm 30 s 1500 rpm 30 s","70 C 30 min","Spin-coating","","150 C 30 min","Evaporation","60-100 nm"
"Akkerman, Quinten A.","2016-12-22","Strongly emissive perovskite nanocrystal inks for high-voltage solar cells","https://www.nature.com/articles/nenergy2016194","10.1038/nenergy.2016.194","SLG | FTO","spiro-meotad","CsPbBr3","CsPbBr","Cs","1.0","Pb","1.0","Br","3.0","Cs2CO3","Au","FALSE","nip","Spin-coating","1000 rpm 60 s","","","","","","","","Evaporation","75 nm"
"Son, Dae-Yong","2016-06-20","Self-formed grain boundary healing layer for highly efficient CH3NH3PbI3 perovskite solar cells","https://www.nature.com/articles/nenergy201681","10.1038/nenergy.2016.81","SLG | FTO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Ag","FALSE","nip","Spin-coating","","","Spin-coating","","65 C 1 min 100 C 2 min","Spin-coating","","","Evaporation","120 nm"
"Zheng, Xiaopeng","2017-06-26","Defect passivation in hybrid perovskite solar cells using quaternary ammonium halide anions and cations","https://www.nature.com/articles/nenergy2017102","10.1038/nenergy.2017.102","SLG | ITO","PTAA","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Cu","FALSE","","Spin-coating","6000 rpm 35 s","100 C 10 min","Spin-coating","4000 rpm 8 s","90 C 10 min","","","","Evaporation","80 nm"
"Wang, Zhiping","2017-08-14","Efficient ambient-air-stable solar cells with 2D–3D heterostructured butylammonium-caesium-formamidinium lead halide perovskites","https://www.nature.com/articles/nenergy2017135","10.1038/nenergy.2017.135","SLG | FTO","spiro-ometad","FA0.83Cs0.17Pb(I0.6Br0.4)3","FACsPbIBr","Cs, FA","0.17, 0.83","Pb","1.0","Br, I","1.2, 1.8","SnO2","Au","FALSE","nip","Spin-coating","2500 rpm 40 s","","Spin-coating","2000 rpm 45 s","","Spin-coating","2000 rpm 45 s","150 C 2 min","Evaporation","80 nm"
"Zhao, Dewei","2017-03-01","Low-bandgap mixed tin–lead iodide perovskite absorbers with long carrier lifetimes for all-perovskite tandem solar cells","https://www.nature.com/articles/nenergy201718","10.1038/nenergy.2017.18","SLG | ITO","MoOx","(FASnI3)0.6(MAPbI3)0.4","FASnIMAPbI","MA, FA","0.4, 0.6","Pb, Sn","0.4, 0.6","I, I","1.2, 1.8","C60","Au","FALSE","","","","","Spin-coating","5000 rpm 60 s","100 C 5 min","","","","Evaporation","10 nm"
"Yang, Mengjin","2017-03-20","Perovskite ink with wide processing window for scalable high-efficiency solar cells","https://www.nature.com/articles/nenergy201738","10.1038/nenergy.2017.38","SLG | FTO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","4000 rpm 35 s","","Doctor blading","","100 C 1 h","Spray pyrolysis","","","Evaporation","100 nm"
"Bush, Kevin A.","2017-02-17","23.6%-efficient monolithic perovskite/silicon tandem solar cells with improved stability","https://www.nature.com/articles/nenergy20179","10.1038/nenergy.2017.9","SLG | ITO","NiOx","Cs0.17FA0.83Pb(Br0.17I0.83)3","CsFAPbBrI","FA, Cs","0.83, 0.17","Pb","1.0","I, Br","2.49, 0.51","SnO2","Ag","FALSE","pin","Spin-coating","1000 rpm 11 s","","Spin-coating","1000 rpm 11 s 6000 rpm 30 s","","","","","Evaporation","150 nm"
"Jeon, Nam Joong","2014-07-06","Solvent engineering for high-performance inorganic–organic hybrid perovskite solar cells","https://www.nature.com/articles/nmat4014","10.1038/nmat4014","SLG | FTO","PTAA","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","","Spin-coating","3000 rpm 30 s","","Spin-coating","1000 rpm 10 s 5000 rpm 20 s","","Spin-coating","","","Evaporation","60-100 nm"
"Xiao, Zhengguo","2014-12-08","Giant switchable photovoltaic effect in organometal trihalide perovskite devices","https://www.nature.com/articles/nmat4150","10.1038/nmat4150","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","UNKNOWN","Au","FALSE","pin","Spin-coating","","105 C 30 min","Spin-coating","6000 rpm 35 s","100 C 2 h","","","","Evaporation","50 nm"
"Ergen, Onur","2016-11-07","Graded bandgap perovskite solar cells","https://www.nature.com/articles/nmat4795","10.1038/nmat4795","UNKNOWN","spiro-ometad","MASnI3","MASnI","MA","1.0","Sn","1.0","I","3.0","GaN","Au","FALSE","nip","Spin-coating","2000 rpm 30 s","","Spin-coating","4000 rpm 45 s","","","","","Evaporation","60-100 nm"
"Im, Jeong-Hyeok","2014-08-31","Growth of CH3NH3PbI3 cuboids with controlled size for high-efficiency perovskite solar cells","https://www.nature.com/articles/nnano.2014.181","10.1038/nnano.2014.181","SLG | FTO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","4000 rpm 30 s","","Spin-coating","","","Spin-coating","2000 rpm 20 s","125 C 5 min","Evaporation","80 nm"
"You, Jingbi","2015-10-12","Improved air stability of perovskite solar cells via solution-processed metal oxide transport layers","https://www.nature.com/articles/nnano.2015.230","10.1038/nnano.2015.230","SLG | ITO","NiOx","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","ZnO","Al","FALSE","pin","Spin-coating","","300 C 60 min","Spin-coating","","","","","","Evaporation",""
"Yuan, Mingjian","2016-06-27","Perovskite energy funnels for efficient light-emitting diodes","https://www.nature.com/articles/nnano.2016.110","10.1038/nnano.2016.110","SLG | ITO","MoO3","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","","","","","Spin-coating","","","Spin-coating","","","Evaporation","100 nm"
"Malinkiewicz, Olga","2013-12-22","Perovskite solar cells employing organic charge-transport layers","https://www.nature.com/articles/nphoton.2013.341","10.1038/nphoton.2013.341","SLG | ITO","polytpd","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Au","FALSE","","","","","","","","","","","Evaporation","100 nm"
"Liu, Dianyi","2013-12-22","Perovskite solar cells with a planar heterojunction structure prepared using room-temperature solution processing techniques","https://www.nature.com/articles/nphoton.2013.342","10.1038/nphoton.2013.342","PET | ITO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","ZnO","Ag","TRUE","nip","Spin-coating","4000 rpm 30 s","","Spin-coating","3000 rpm 15 s","","","","","Evaporation","150 nm"
"Marchioro, Arianna","2014-01-19","Unravelling the mechanism of photoinduced charge transfer processes in lead iodide perovskite solar cells","https://www.nature.com/articles/nphoton.2013.374","10.1038/nphoton.2013.374","UNKNOWN","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","","FALSE","nip","Spin-coating","4000 rpm 30 s","","Spin-coating","6500 rpm 30 s","","Spin-coating","","","",""
"Heo, Jin Hyuck","2013-05-05","Efficient inorganic–organic hybrid heterojunction solar cells containing perovskite compound and polymeric hole conductors","https://www.nature.com/articles/nphoton.2013.80","10.1038/nphoton.2013.80","SLG | FTO","PTAA","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","","Spin-coating","3000 rpm 30 s","","","","","Spray pyrolysis","","","Evaporation","60-100 nm"
"Hao, Feng","2014-05-04","Lead-free solid-state organic–inorganic halide perovskite solar cells","https://www.nature.com/articles/nphoton.2014.82","10.1038/nphoton.2014.82","UNKNOWN","spiro-ometad","MASnI3","MASnI","MA","1.0","Sn","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","4000 rpm 30 s","","","","","Spin-coating","4500 rpm 30 s","","Evaporation","100 nm"
"He, Zhicai","2015-02-09","Single-junction polymer solar cells with high efficiency and photovoltage","https://www.nature.com/articles/nphoton.2015.6","10.1038/nphoton.2015.6","SLG | ITO","ptb7-th","UNKNOWN","","","","","","","","PFN","Al","FALSE","","Spin-coating","1000 rpm 2 min","","","","","","","","Evaporation","100 nm"
"Wang, Nana","2016-09-26","Perovskite light-emitting diodes based on solution-processed self-organized multiple quantum wells","https://www.nature.com/articles/nphoton.2016.185","10.1038/nphoton.2016.185","SLG | ITO","MoOx","(NMA)2PbI4","MAPbI","MA","2.0","Pb","1.0","I","4.0","ZnO","Au","FALSE","","","","","Spin-coating","","","","","","Evaporation","60-100 nm"
"Xiao, Zhengguo","2017-01-16","Efficient perovskite light-emitting diodes featuring nanometre-sized crystallites","https://www.nature.com/articles/nphoton.2016.269","10.1038/nphoton.2016.269","SLG | ITO","poly-tpd","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","UNKNOWN","Al","FALSE","","Spin-coating","1000 rpm 60 s","","Spin-coating","","","","","","Evaporation",""
"Chiang, Chien-Hung","2016-02-15","Bulk heterojunction perovskite–PCBM solar cells with high fill factor","https://www.nature.com/articles/nphoton.2016.3","10.1038/nphoton.2016.3","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Al","FALSE","pin","","","","Spin-coating","","100 C 12 h","Spin-coating","","","Evaporation","100 nm"
"Zhang, C.","2015-03-16","Magnetic field effects in hybrid perovskite devices","https://www.nature.com/articles/nphys3277","10.1038/nphys3277","SLG | ITO","pedot:pss","UNKNOWN","","","","","","","","PCBM","Al","FALSE","pin","","","","Spin-coating","2500 rpm 120 min","","Spin-coating","","","Evaporation","100 nm"
"Li, Chenglong","2020-03-03","Ultrafast and broadband photodetectors based on a perovskite/organic bulk heterojunction for large-dynamic-range imaging","https://www.nature.com/articles/s41377-020-0264-5","10.1038/s41377-020-0264-5","SLG | ITO","PTAA","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","C60","Cu","FALSE","pin","Spin-coating","4000 rpm 40 s","100 C 1 h","Spin-coating","4000 rpm 40 s","100 C 1 h","","","","Evaporation","100 nm"
"You, Peng","2021-03-31","2D materials for conducting holes from grain boundaries in perovskite solar cells","https://www.nature.com/articles/s41377-021-00515-8","10.1038/s41377-021-00515-8","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","","","Spin-coating","4000 rpm 30 s","","Spin-coating","","","Evaporation","60-100 nm"
"Yao, Kai","2021-10-28","Plasmon-induced trap filling at grain boundaries in perovskite solar cells","https://www.nature.com/articles/s41377-021-00662-y","10.1038/s41377-021-00662-y","SLG | ITO","PTAA","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PC61BM","Ag","FALSE","","Spin-coating","6000 rpm 35 s","100 C 10 min","Spin-coating","4000 rpm 40 s","","Spin-coating","1500 rpm 40 s","","Evaporation","120 nm"
"Cai, Xia","2022-07-26","Data-driven design of high-performance MASnxPb1-xI3 perovskite materials by machine learning and experimental realization","https://www.nature.com/articles/s41377-022-00924-3","10.1038/s41377-022-00924-3","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","C60","Ag","FALSE","pin","Spin-coating","4000 rpm 50 s","175 C 60 min","Spin-coating","","","","","","Evaporation","100 nm"
"Gao, Long","2022-12-14","High efficiency pure blue perovskite quantum dot light-emitting diodes based on formamidinium manipulating carrier dynamics and electron state filling","https://www.nature.com/articles/s41377-022-00992-5","10.1038/s41377-022-00992-5","SLG | ITO","poly-tpd","CsPb(Cl0.5Br0.5)3","CsPbClBr","Cs","1.0","Pb","1.0","Br, Cl","1.5, 1.5","PEI","Al","FALSE","","Spin-coating","","","Spin-coating","2000 rpm 60 s","","","","","Evaporation",""
"Ai, Bin","2022-01-12","Plasmonic–perovskite solar cells, light emitters, and sensors","https://www.nature.com/articles/s41378-021-00334-2","10.1038/s41378-021-00334-2","SLG | ITO","pedot:pss","CsPbBr3","CsPbBr","Cs","1.0","Pb","1.0","Br","3.0","TiO2","Ag","FALSE","","","","","","","","","","","Evaporation","80-120 nm"
"Liu, Chang","2018-06-18","Efficiency and stability enhancement of perovskite solar cells by introducing CsPbI3 quantum dots as an interface engineering layer","https://www.nature.com/articles/s41427-018-0055-0","10.1038/s41427-018-0055-0","SLG | FTO","spiro-ometad","CsPbI3","CsPbI","Cs","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","","","Spin-coating","","","Spin-coating","4000 rpm 20 s","","Evaporation","60-100 nm"
"Pisoni, Stefano","2018-11-16","Tailored lead iodide growth for efficient flexible perovskite solar cells and thin-film tandem devices","https://www.nature.com/articles/s41427-018-0099-1","10.1038/s41427-018-0099-1","SLG | ITO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","C60","Au","FALSE","nip","Spin-coating","2500 rpm 45 s","","Spin-coating","","","","","","Evaporation","50 nm"
"Wang, Ying-Chiao","2020-08-28","Quantum-assisted photoelectric gain effects in perovskite solar cells","https://www.nature.com/articles/s41427-020-00236-1","10.1038/s41427-020-00236-1","SLG | ITO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","CPTA","Au","FALSE","nip","Spin-coating","","","Spin-coating","5000 rpm 30 s","100 C 10 min","Spin-coating","4000 rpm 30 s","140 C 10 min","Evaporation","75 nm"
"Liu, Sanwan","2023-05-05","Recent progress in the development of high-efficiency inverted perovskite solar cells","https://www.nature.com/articles/s41427-023-00474-z","10.1038/s41427-023-00474-z","SLG | ITO","NiOx","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Ag","FALSE","pin","","","","Doctor blading","","","","","","Evaporation","80-120 nm"
"Wheeler, Lance M.","2017-11-23","Switchable photovoltaic windows enabled by reversible photothermal complex dissociation from methylammonium lead iodide","https://www.nature.com/articles/s41467-017-01842-4","10.1038/s41467-017-01842-4","SLG | FTO","SWCNTs","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","SWCNTs","","FALSE","","","","","Spin-coating","2000 rpm 20 s","100 C 30 min","","","","",""
"Chen, Zhaolai","2017-12-01","Thin single crystal perovskite solar cells to harvest below-bandgap light absorption","https://www.nature.com/articles/s41467-017-02039-5","10.1038/s41467-017-02039-5","SLG | ITO","PTAA","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Cu","FALSE","","Spin-coating","","100 C 10 min","Spin-coating","","50 C 10 min","Spin-coating","","50 C 10 min","Evaporation","80 nm"
"Yang, Xiaolei","2018-02-08","Efficient green light-emitting diodes based on quasi-two-dimensional composition and phase engineered perovskite with surface passivation","https://www.nature.com/articles/s41467-018-02978-7","10.1038/s41467-018-02978-7","SLG | ITO","pedot:pss","PEA2(FAPbBr3)n-1PbBr4","","","","","","","","UNKNOWN","Al","FALSE","pin","Spin-coating","9000 rpm 40 s","90 C 1 h","Spin-coating","7000 rpm 1 min","","","","","Evaporation",""
"Li, Bo","2018-03-14","Surface passivation engineering strategy to fully-inorganic cubic CsPbI3 perovskites for high-performance solar cells","https://www.nature.com/articles/s41467-018-03169-0","10.1038/s41467-018-03169-0","SLG | FTO","spiro-ometad","CsPbI3","CsPbI","Cs","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","","","Spin-coating","2500 rpm 45 s","","Spin-coating","2000 rpm 30 s","500 C 30 min","Evaporation","50 nm"
"Chen, Alexander Z.","2018-04-06","Origin of vertical orientation in two-dimensional metal halide perovskites and its effect on photovoltaic performance","https://www.nature.com/articles/s41467-018-03757-0","10.1038/s41467-018-03757-0","SLG | ITO","pedot:pss","BA2MA3Pb4I13","BAMAPbI","MA, BA","3.0, 2.0","Pb","4.0","I","13.0","TiO2","Cu","FALSE","pin","Spin-coating","6000 rpm 60 s","120 C 15 min","Spin-coating","3000 rpm 60 s","120 C 10 min","","","","Evaporation","50 nm"
"Wu, Wu-Qiang","2018-04-24","Molecular doping enabled scalable blading of efficient hole-transport-layer-free perovskite solar cells","https://www.nature.com/articles/s41467-018-04028-8","10.1038/s41467-018-04028-8","SLG | ITO","PTAA","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","C60","Au","FALSE","","","","","Doctor blading","","","","","","Evaporation","60-100 nm"
"Zhao, Yicheng","2018-04-23","Perovskite seeding growth of formamidinium-lead-iodide-based perovskites for efficient and stable solar cells","https://www.nature.com/articles/s41467-018-04029-7","10.1038/s41467-018-04029-7","SLG | ITO","spiro-ometad","FAPbI3","FAPbI","FA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","","","Spin-coating","1600 rpm 20 s 4000 rpm 50 s","70 C 2 min","Spin-coating","3000 rpm 30 s","150 C 30 min","Evaporation","100 nm"
"Tsai, Hsinhan","2018-05-30","Design principles for electronic charge transport in solution-processed vertically stacked 2D perovskite quantum wells","https://www.nature.com/articles/s41467-018-04430-2","10.1038/s41467-018-04430-2","UNKNOWN","pedot:pss","BA2MA3Pb4I13","BAMAPbI","MA, BA","3.0, 2.0","Pb","4.0","I","13.0","PCBM","Al","FALSE","pin","Spin-coating","5000 rpm 45 s","","Spin-coating","","110 C 5 min","Spin-coating","1000 rpm 45 s","","Evaporation",""
"Wang, Pengyang","2018-06-08","Solvent-controlled growth of inorganic perovskite films in dry environment for efficient and stable solar cells","https://www.nature.com/articles/s41467-018-04636-4","10.1038/s41467-018-04636-4","SLG | ITO","spiro-ometad","CsPbI3","CsPbI","Cs","1.0","Pb","1.0","I","3.0","SnO2","Au","FALSE","nip","Spin-coating","2500 rpm 30 s","","Spin-coating","","350 C 10 min","Spin-coating","","","Evaporation","60 nm"
"Zheng, Guanhaojie","2018-07-18","Manipulation of facet orientation in hybrid perovskite polycrystalline films by cation cascade","https://www.nature.com/articles/s41467-018-05076-w","10.1038/s41467-018-05076-w","SLG | ITO","spiro-ometad","(FAPbI3)85(MAPbBr3)15","FAPbIMAPbBr","MA, FA","15.0, 85.0","Pb, Pb","15.0, 85.0","Br, I","45.0, 255.0","SnO2","Ag","FALSE","nip","Spin-coating","2000 rpm 45 s","","Spin-coating","1000 rpm 10 s 5000 rpm 30 s","","Spin-coating","","150 C 30 min","Evaporation","100 nm"
"Lee, Jin-Wook","2018-08-01","2D perovskite stabilized phase-pure formamidinium perovskite solar cells","https://www.nature.com/articles/s41467-018-05454-4","10.1038/s41467-018-05454-4","SLG | ITO","spiro-meotad","FAPbI3","FAPbI","FA","1.0","Pb","1.0","I","3.0","SnO2","Au","FALSE","nip","Spin-coating","","","","","","Spin-coating","3000 rpm 30 s","150 C 30 min","Evaporation","100 nm"
"Tan, Hairen","2018-08-06","Dipolar cations confer defect tolerance in wide-bandgap metal halide perovskites","https://www.nature.com/articles/s41467-018-05531-8","10.1038/s41467-018-05531-8","SLG | ITO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","","","","Spin-coating","","","Spin-coating","3000 rpm 30 s","","Evaporation","100 nm"
"Park, Byung-wook","2018-08-17","Understanding how excess lead iodide precursor improves halide perovskite solar cell performance","https://www.nature.com/articles/s41467-018-05583-w","10.1038/s41467-018-05583-w","PEN | FTO","PTAA","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","TRUE","","Spin-coating","3000 rpm 30 s","","Spin-coating","1000 rpm 5 s 5000 rpm 10 s","","Spin-coating","","","Evaporation","80 nm"
"Yang, Dong","2018-08-13","High efficiency planar-type perovskite solar cells with negligible hysteresis using EDTA-complexed SnO2","https://www.nature.com/articles/s41467-018-05760-x","10.1038/s41467-018-05760-x","PET | ITO","spiro-ometad","FA0.95Cs0.05PbI3","FACsPbI","Cs, FA","0.05, 0.95","Pb","1.0","I","3.0","SnO2","Al","TRUE","nip","Spin-coating","5000 rpm 30 s","","Spin-coating","","","Spin-coating","5000 rpm 60 s","","Evaporation","80 nm"
"Li, Xiaodong","2018-09-18","In-situ cross-linking strategy for efficient and operationally stable methylammoniun lead iodide solar cells","https://www.nature.com/articles/s41467-018-06204-2","10.1038/s41467-018-06204-2","SLG | ITO","P3CT-N","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Cu","FALSE","pin","Spin-coating","4000 rpm 60 s","100 C 10 min","Spin-coating","4800 rpm 20 s","","Spin-coating","2000 rpm 45 s","","Evaporation","200 nm"
